Signal Strength: Strong,,,,,,,,,,,,,,,,,,,,,,,,,
Order Execution: Immediately,,,,,,,,,,,,,,,,,,,,,,,,,
Investment,100000,,,,,,,,,,,,,,,,,,,,,,,,
Leverage,1,,,,,,,,,,,Jan,Feb,Mar,Apr,May,June,Total,,,,,,,
TP,0.009,,,,,,,,,,,,,,,,,,,,,,,,
SL,-0.0142,,,,,,,,,,,,,,,,,,,,,,,,
date,time,side,result,return,nav,cum_roi,bars 15,duration m,duration H,,Total Trades,38,27,45,37,38,32,217,,0,1,1,1,1,0
Jan 1,0,Sell,0,-1.42%,98580,-1.42%,72,1080,18,,Wins,27,18,26,25,30,24,150,,1,0,1,1,1,1
Jan 1,16,Buy,1,0.90%,99467.22,-0.53%,9,135,2.25,,Losses,11,9,19,12,8,8,67,,0,1,1,1,1,0
Jan 2,0,Sell,0,-1.42%,98054.78548,-1.95%,2,30,0.5,,Win Rate,71.05%,66.67%,57.78%,67.57%,78.95%,75.00%,69.12%,,1,1,0,0,0,1
Jan 2,22,Buy,1,0.90%,98937.27855,-1.06%,46,690,11.5,,,,,,,,,,,1,0,0,1,1,0
Jan 3,16,Buy,1,0.90%,99827.71405,-0.17%,1,15,0.25,,ROI 1x,6.66%,1.62%,-7.09%,3.09%,15.00%,8.98%,,,3,3,3,4,4,2
Jan 5,0,Buy,0,-1.42%,98410.16051,-1.59%,7,105,1.75,,ROI 2x,13.19%,2.88%,-14.28%,5.73%,31.65%,18.29%,,,,,,,,
Jan 6,0,Buy,0,-1.42%,97012.73623,-2.99%,28,420,7,,ROI 4x,25.53%,4.22%,-28.60%,9.47%,70.22%,37.67%,,,,,,,,
Jan 6,20,Buy,1,0.90%,97885.85086,-2.11%,70,1050,17.5,,ROI 8x,44.86%,1.90%,-54.83%,9.92%,169.14%,77.37%,,,,,,,,
Jan 7,0,Sell,1,0.90%,98766.82352,-1.23%,94,1410,23.5,,,,,,,,,,,,,,,,
Jan 7,4,Sell,1,0.90%,99655.72493,-0.34%,89,1335,22.25,,Cum ROI 1x,6.66%,8.39%,0.71%,3.83%,19.40%,30.12%,30.12%,,,,,,,
Jan 7,23,Buy,1,0.90%,100552.6265,0.55%,29,435,7.25,,Cum ROI 2x,13.19%,16.45%,-0.18%,5.54%,38.95%,64.37%,64.37%,,,,,,,
Jan 8,20,Sell,1,0.90%,101457.6001,1.46%,18,270,4.5,,Cum ROI 4x,25.53%,30.83%,-6.61%,2.24%,74.02%,139.58%,139.58%,,,,,,,
Jan 10,16,Buy,1,0.90%,102370.7185,2.37%,6,90,1.5,,Cum ROI 8x,44.86%,47.60%,-33.32%,-26.71%,97.25%,249.80%,249.80%,,,,,,,
Jan 11,16,Sell,1,0.90%,103292.055,3.29%,1,15,0.25,,,,,,,,,,,,,,,,
Jan 12,16,Sell,1,0.90%,104221.6835,4.22%,1,15,0.25,,,,,,,,,,,,,,,,
Jan 14,1,Sell,1,0.90%,105159.6786,5.16%,76,1140,19,,,,,,,,,,,,,,,,
Jan 15,0,Sell,0,-1.42%,103666.4112,3.67%,1,15,0.25,,,,,,,,,,,,,,,,
Jan 15,16,Sell,0,-1.42%,102194.3481,2.19%,9,135,2.25,,,,,,,,,,,,,,,,
Jan 15,22,Buy,1,0.90%,103114.0973,3.11%,45,675,11.25,,,,,,,,,,,,,,,,
Jan 16,16,Buy,1,0.90%,104042.1241,4.04%,21,315,5.25,,,,,,,,,,,,,,,,
Jan 17,0,Buy,0,-1.42%,102564.726,2.56%,50,750,12.5,,,,,,,,,,,,,,,,
Jan 17,20,Sell,1,0.90%,103487.8085,3.49%,82,1230,20.5,,,,,,,,,,,,,,,,
Jan 18,18,Sell,1,0.90%,104419.1988,4.42%,1,15,0.25,,,,,,,,,,,,,,,,
Jan 19,4,Buy,1,0.90%,105358.9716,5.36%,11,165,2.75,,,,,,,,,,,,,,,,
Jan 20,0,Sell,1,0.90%,106307.2023,6.31%,196,2940,49,,,,,,,,,,,,,,,,
Jan 20,8,Buy,0,-1.42%,104797.64,4.80%,178,2670,44.5,,,,,,,,,,,,,,,,
Jan 22,17,Sell,1,0.90%,105740.8188,5.74%,7,105,1.75,,,,,,,,,,,,,,,,
Jan 23,16,Sell,0,-1.42%,104239.2992,4.24%,31,465,7.75,,,,,,,,,,,,,,,,
Jan 24,16,Buy,1,0.90%,105177.4529,5.18%,167,2505,41.75,,,,,,,,,,,,,,,,
Jan 25,12,Sell,1,0.90%,106124.0499,6.12%,5,75,1.25,,,,,,,,,,,,,,,,
Jan 26,0,Sell,0,-1.42%,104617.0884,4.62%,42,630,10.5,,,,,,,,,,,,,,,,
Jan 26,16,Sell,0,-1.42%,103131.5258,3.13%,8,120,2,,,,,,,,,,,,,,,,
Jan 27,0,Buy,1,0.90%,104059.7095,4.06%,87,1305,21.75,,,,,,,,,,,,,,,,
Jan 28,0,Buy,1,0.90%,104996.2469,5.00%,18,270,4.5,,,,,,,,,,,,,,,,
